quantity,price_paid_deal,price_paid_non_deal,coupon_value,promotion_type,size1_descr,flavor_descr,formula_descr,household_id,household_size,household_income,age_of_female_head,age_of_male_head,age_and_presence_of_children,male_head_employment,female_head_employment,male_head_education,female_head_education,marital_status,male_head_occupation,female_head_occupation,household_composition,race,hispanic_origin,region,scantrack_market_identifier,fips_state_code,fips_county_code,type_of_residence,kitchen_appliances,tv_items,female_head_birth,male_head_birth,household_internet_connection
1,0,3,0,,16.0 MLOZ,HEATH COFFEE CRUNCH,REGULAR,30179560,3,27,7,8,9,3,3,5,4,1,1,2,1,1,2,2,,29,43,1,4,3,10/1/56,10/1/52,1
1,0,1.99,0,,16.0 MLOZ,AMERICONE DREAM,REGULAR,30162082,4,27,6,6,9,3,3,4,3,1,1,4,1,1,2,2,,20,173,1,4,3,1/1/60,1/1/62,1
1,0,2.83,0,,16.0 MLOZ,PB CUP,REGULAR,30162082,4,27,6,6,9,3,3,4,3,1,1,4,1,1,2,2,,20,173,1,4,3,1/1/60,1/1/62,1
1,0,1.99,0,,16.0 MLOZ,PB CUP,REGULAR,30162082,4,27,6,6,9,3,3,4,3,1,1,4,1,1,2,2,,20,173,1,4,3,1/1/60,1/1/62,1
2,0,1.99,0,,16.0 MLOZ,AMERICONE DREAM,REGULAR,30162082,4,27,6,6,9,3,3,4,3,1,1,4,1,1,2,2,,20,173,1,4,3,1/1/60,1/1/62,1
4,0,7.96,0,,16.0 MLOZ,PB CUP,REGULAR,30162082,4,27,6,6,9,3,3,4,3,1,1,4,1,1,2,2,,20,173,1,4,3,1/1/60,1/1/62,1
1,0,3.12,0,,16.0 MLOZ,CHC FUDGE BROWNIE,REGULAR,30162082,4,27,6,6,9,3,3,4,3,1,1,4,1,1,2,2,,20,173,1,4,3,1/1/60,1/1/62,1
2,0,2.83,0,,16.0 MLOZ,AMERICONE DREAM,REGULAR,30162082,4,27,6,6,9,3,3,4,3,1,1,4,1,1,2,2,,20,173,1,4,3,1/1/60,1/1/62,1
1,0,3.84,0,,16.0 MLOZ,VAN,REGULAR,30077139,1,23,0,7,9,3,0,4,0,4,5,,7,1,2,2,21,55,79,1,4,1,"",1/1/53,2
1,2.5,0,2.5,2,16.0 MLOZ,CHERRY GRCA,REGULAR,30077166,1,15,8,0,9,0,3,0,4,3,3,3,5,1,2,3,,13,73,1,4,3,10/1/52,"",1
1,4.19,0,0,1,16.0 MLOZ,HEATH CANDY EVERYTHING BUT THE,REGULAR,30077439,1,23,0,8,9,3,0,6,0,3,2,,7,1,2,1,43,36,93,1,4,1,"",10/1/46,2
1,4.19,0,0,1,16.0 MLOZ,CHERRY GRCA,REGULAR,30077439,1,23,0,8,9,3,0,6,0,3,2,,7,1,2,1,43,36,93,1,4,1,"",10/1/46,2
1,0,2.5,0,,16.0 MLOZ,CHUNKY MONKEY,REGULAR,30081376,6,21,4,4,3,3,2,3,3,1,6,8,1,1,2,2,46,26,159,1,1,1,1/1/70,1/1/70,1
3,10.5,0,0,1,16.0 MLOZ,TURTLE SOUP,REGULAR,30090266,2,23,8,8,9,9,3,5,4,1,12,2,1,1,2,4,27,6,73,1,1,2,10/1/49,10/1/47,1
1,5.58,0,0,1,32.0 MLOZ,CHC CHIP C-DH,REGULAR,30090266,2,23,8,8,9,9,3,5,4,1,12,2,1,1,2,4,27,6,73,1,1,2,10/1/49,10/1/47,1
1,0,3.32,0,,16.0 MLOZ,KARAMEL SUTRA,REGULAR,30140154,1,26,6,0,9,0,9,0,6,4,12,12,5,1,2,3,,45,83,1,4,1,10/1/62,"",1
1,3.33,0,0.99,2,16.0 MLOZ,CHC FUDGE BROWNIE,REGULAR,30143584,1,17,4,0,9,0,3,0,5,4,2,2,5,1,2,3,5,12,31,5,4,3,10/1/71,"",1
1,3.25,0,0.99,2,16.0 MLOZ,HALF BAKED,REGULAR,30143584,1,17,4,0,9,0,3,0,5,4,2,2,5,1,2,3,5,12,31,5,4,3,10/1/71,"",1
1,0,3.43,0,,16.0 MLOZ,PHISH FOOD,REGULAR,30143584,1,17,4,0,9,0,3,0,5,4,2,2,5,1,2,3,5,12,31,5,4,3,10/1/71,"",1
1,0,2.5,0,,16.0 MLOZ,CHC FUDGE BROWNIE,REGULAR,30143584,1,17,4,0,9,0,3,0,5,4,2,2,5,1,2,3,5,12,31,5,4,3,10/1/71,"",1
1,0,2.5,0,,16.0 MLOZ,HALF BAKED,REGULAR,30143584,1,17,4,0,9,0,3,0,5,4,2,2,5,1,2,3,5,12,31,5,4,3,10/1/71,"",1
1,0,2.5,0,,16.0 MLOZ,ONE CSK BROWNIE,REGULAR,30143584,1,17,4,0,9,0,3,0,5,4,2,2,5,1,2,3,5,12,31,5,4,3,10/1/71,"",1
2,6.66,0,1,3,16.0 MLOZ,TURTLE SOUP,REGULAR,30090266,2,23,8,8,9,9,3,5,4,1,12,2,1,1,2,4,27,6,73,1,1,2,10/1/49,10/1/47,1
2,0,7.98,0,,16.0 MLOZ,PISTACHIO PISTACHIO,REGULAR,30092076,1,21,0,5,9,3,0,4,0,4,1,,7,1,2,1,33,9,3,5,1,1,"",10/1/67,1
1,0,4.59,0,,16.0 MLOZ,PISTACHIO PISTACHIO,REGULAR,30092076,1,21,0,5,9,3,0,4,0,4,1,,7,1,2,1,33,9,3,5,1,1,"",10/1/67,1
1,0,3,0,,16.0 MLOZ,CAKE BATTER,REGULAR,30092653,3,13,6,7,9,3,9,5,3,1,4,12,1,1,2,2,4,18,79,1,1,1,10/1/62,10/1/53,1
1,0,3,0,,16.0 MLOZ,HALF BAKED,REGULAR,30092653,3,13,6,7,9,3,9,5,3,1,4,12,1,1,2,2,4,18,79,1,1,1,10/1/62,10/1/53,1
2,6.84,0,3.79,2,16.0 MLOZ,CHERRY GRCA,REGULAR,30094432,1,16,8,0,9,0,3,0,4,3,4,4,5,1,2,3,11,12,127,6,4,2,10/1/44,"",1
1,2.5,0,0.25,2,16.0 MLOZ,HEATH CANDY EVERYTHING BUT THE,REGULAR,30094598,2,18,8,5,9,3,3,3,5,1,4,4,1,1,2,2,4,18,57,1,4,1,1/1/50,10/1/67,2
2,0,8.98,0,,16.0 MLOZ,HALF BAKED,REGULAR,30143584,1,17,4,0,9,0,3,0,5,4,2,2,5,1,2,3,5,12,31,5,4,3,10/1/71,"",1
1,3.44,0,0.95,2,16.0 MLOZ,CHERRY GRCA,REGULAR,30143749,2,26,8,5,9,3,9,4,5,4,8,10,8,4,2,2,6,20,103,1,1,2,10/1/53,10/1/64,1
1,3.83,0,0.99,2,16.0 MLOZ,BUTTER PECAN,REGULAR,30144298,1,21,8,0,9,0,9,0,5,3,12,12,5,2,2,3,30,24,5,1,4,2,10/1/46,"",1
2,0,8.98,0,,16.0 MLOZ,CHC FUDGE BROWNIE,REGULAR,30144298,1,21,8,0,9,0,9,0,5,3,12,12,5,2,2,3,30,24,5,1,4,2,10/1/46,"",1
1,0,2.5,0,,16.0 MLOZ,CHERRY GRCA,REGULAR,30144781,1,16,4,0,9,0,3,0,6,4,1,1,5,1,2,2,21,55,27,5,1,2,1/1/71,"",1
1,0,3.28,0,,16.0 MLOZ,CAKE BATTER,REGULAR,30144781,1,16,4,0,9,0,3,0,6,4,1,1,5,1,2,2,21,55,27,5,1,2,1/1/71,"",1
1,0,2.5,0,,16.0 MLOZ,PISTACHIO PISTACHIO,REGULAR,30144781,1,16,4,0,9,0,3,0,6,4,1,1,5,1,2,2,21,55,27,5,1,2,1/1/71,"",1
1,2.5,0,0,1,16.0 MLOZ,KARAMEL SUTRA,REGULAR,30094598,2,18,8,5,9,3,3,3,5,1,4,4,1,1,2,2,4,18,57,1,4,1,1/1/50,10/1/67,2
1,2.5,0,0,1,16.0 MLOZ,VAN CARAMEL FUDGE,REGULAR,30094598,2,18,8,5,9,3,3,3,5,1,4,4,1,1,2,2,4,18,57,1,4,1,1/1/50,10/1/67,2
2,0,5,0,,16.0 MLOZ,KARAMEL SUTRA,REGULAR,30094598,2,18,8,5,9,3,3,3,5,1,4,4,1,1,2,2,4,18,57,1,4,1,1/1/50,10/1/67,2
1,0,3.99,0,,16.0 MLOZ,HEATH COFFEE CRUNCH,REGULAR,30096050,2,18,7,7,9,9,3,4,4,1,10,3,1,1,2,2,46,26,81,1,4,3,1/1/56,10/1/56,1
1,0,4.49,0,,16.0 MLOZ,AMERICONE DREAM,REGULAR,30096050,2,18,7,7,9,9,3,4,4,1,10,3,1,1,2,2,46,26,81,1,4,3,1/1/56,10/1/56,1
1,0,2.5,0,,16.0 MLOZ,AMERICONE DREAM,REGULAR,30096050,2,18,7,7,9,9,3,4,4,1,10,3,1,1,2,2,46,26,81,1,4,3,1/1/56,10/1/56,1
1,0,2.5,0,,16.0 MLOZ,KARAMEL SUTRA,REGULAR,30096050,2,18,7,7,9,9,3,4,4,1,10,3,1,1,2,2,46,26,81,1,4,3,1/1/56,10/1/56,1
1,0,2.5,0,,16.0 MLOZ,CREME BRULEE,REGULAR,30144781,1,16,4,0,9,0,3,0,6,4,1,1,5,1,2,2,21,55,27,5,1,2,1/1/71,"",1
1,0,3,0,,16.0 MLOZ,CHC FUDGE BROWNIE,REGULAR,30145591,2,21,3,5,9,3,9,2,2,1,4,12,1,1,2,4,,8,29,1,4,1,1/1/74,10/1/66,1
1,0,3.37,0,,16.0 MLOZ,ONE CSK BROWNIE,REGULAR,30145919,4,27,5,7,2,3,9,6,3,1,2,12,1,1,2,2,22,27,37,1,4,3,10/1/63,1/1/57,1
1,0,3.69,0,,16.0 MLOZ,ONE CSK BROWNIE,REGULAR,30145919,4,27,5,7,2,3,9,6,3,1,2,12,1,1,2,2,22,27,37,1,4,3,10/1/63,1/1/57,1
1,0,3.49,0,,16.0 MLOZ,ONE CSK BROWNIE,REGULAR,30145919,4,27,5,7,2,3,9,6,3,1,2,12,1,1,2,2,22,27,37,1,4,3,10/1/63,1/1/57,1
1,0,3.69,0,,16.0 MLOZ,ONE CSK BROWNIE,REGULAR,30145919,4,27,5,7,2,3,9,6,3,1,2,12,1,1,2,2,22,27,37,1,4,3,10/1/63,1/1/57,1
1,0,3.69,0,,16.0 MLOZ,ONE CSK BROWNIE,REGULAR,30145919,4,27,5,7,2,3,9,6,3,1,2,12,1,1,2,2,22,27,37,1,4,3,10/1/63,1/1/57,1
1,0,3.52,0,,16.0 MLOZ,CHUNKY MONKEY,REGULAR,30142109,1,21,7,0,9,0,2,0,4,2,5,5,5,1,2,4,12,6,85,1,4,2,10/1/53,"",1
1,0,3.24,0,,16.0 MLOZ,CHC CHIP C-DH,REGULAR,30143129,3,21,5,4,3,3,3,4,3,1,5,4,1,2,2,3,49,51,710,5,4,1,10/1/63,10/1/72,1
1,0,4.19,0,,16.0 MLOZ,CHC ALMOND NOUGAT,REGULAR,30143129,3,21,5,4,3,3,3,4,3,1,5,4,1,2,2,3,49,51,710,5,4,1,10/1/63,10/1/72,1
1,0,3.49,0,,16.0 MLOZ,PISTACHIO PISTACHIO,REGULAR,30143129,3,21,5,4,3,3,3,4,3,1,5,4,1,2,2,3,49,51,710,5,4,1,10/1/63,10/1/72,1
1,3,0,0.99,2,16.0 MLOZ,BANANA SPLIT,REGULAR,30143834,4,15,5,4,4,9,2,3,4,4,12,3,3,1,2,3,47,21,211,1,1,3,10/1/67,10/1/70,1
1,2.27,0,1.72,2,16.0 MLOZ,HEATH CANDY EVERYTHING BUT THE,REGULAR,30143834,4,15,5,4,4,9,2,3,4,4,12,3,3,1,2,3,47,21,211,1,1,3,10/1/67,10/1/70,1
1,2.27,0,1.72,2,16.0 MLOZ,HEATH CANDY EVERYTHING BUT THE,REGULAR,30143834,4,15,5,4,4,9,2,3,4,4,12,3,3,1,2,3,47,21,211,1,1,3,10/1/67,10/1/70,1
1,0,3.99,0,,16.0 MLOZ,TURTLE SOUP,REGULAR,30096050,2,18,7,7,9,9,3,4,4,1,10,3,1,1,2,2,46,26,81,1,4,3,1/1/56,10/1/56,1
1,0,3.99,0,,16.0 MLOZ,CINNAMON BUNS,REGULAR,30096050,2,18,7,7,9,9,3,4,4,1,10,3,1,1,2,2,46,26,81,1,4,3,1/1/56,10/1/56,1
1,0,2.5,0,,16.0 MLOZ,PB CUP,REGULAR,30096050,2,18,7,7,9,9,3,4,4,1,10,3,1,1,2,2,46,26,81,1,4,3,1/1/56,10/1/56,1
1,0,4.49,0,,16.0 MLOZ,IMAGINE WHIRLED PEACE,REGULAR,30096050,2,18,7,7,9,9,3,4,4,1,10,3,1,1,2,2,46,26,81,1,4,3,1/1/56,10/1/56,1
1,0,2.5,0,,16.0 MLOZ,HALF BAKED,REGULAR,30096050,2,18,7,7,9,9,3,4,4,1,10,3,1,1,2,2,46,26,81,1,4,3,1/1/56,10/1/56,1
1,0,3.79,0,,16.0 MLOZ,CHUNKY MONKEY,REGULAR,30096632,3,19,3,5,2,3,3,4,4,1,3,1,1,1,2,3,11,12,117,5,4,2,10/1/73,10/1/68,1
1,0,3.79,0,,16.0 MLOZ,CHC FUDGE BROWNIE,REGULAR,30096632,3,19,3,5,2,3,3,4,4,1,3,1,1,1,2,3,11,12,117,5,4,2,10/1/73,10/1/68,1
1,2.65,0,1.72,2,16.0 MLOZ,BANANA SPLIT,REGULAR,30143834,4,15,5,4,4,9,2,3,4,4,12,3,3,1,2,3,47,21,211,1,1,3,10/1/67,10/1/70,1
1,0,3,0,,16.0 MLOZ,HALF BAKED,REGULAR,30144983,2,16,0,3,9,3,0,4,0,3,1,,3,1,2,3,34,5,125,1,4,1,"",10/1/74,1
1,0,3,0,,16.0 MLOZ,PB CUP,REGULAR,30144983,2,16,0,3,9,3,0,4,0,3,1,,3,1,2,3,34,5,125,1,4,1,"",10/1/74,1
1,0,3,0,,16.0 MLOZ,CINNAMON BUNS,REGULAR,30146349,2,28,9,9,9,9,1,6,5,1,12,2,1,1,2,4,18,8,37,1,4,2,10/1/42,10/1/39,1
1,3.39,0,0.3,2,16.0 MLOZ,BANANA SPLIT,REGULAR,30146349,2,28,9,9,9,9,1,6,5,1,12,2,1,1,2,4,18,8,37,1,4,2,10/1/42,10/1/39,1
1,3.41,0,0.3,2,16.0 MLOZ,CINNAMON BUNS,REGULAR,30146349,2,28,9,9,9,9,1,6,5,1,12,2,1,1,2,4,18,8,37,1,4,2,10/1/42,10/1/39,1
1,0,3,0,,16.0 MLOZ,CHERRY GRCA,REGULAR,30147877,3,23,8,7,9,3,9,3,3,3,4,12,3,1,2,3,29,12,115,1,4,2,10/1/47,10/1/56,1
2,6.98,0,0,1,16.0 MLOZ,BANANA SPLIT,REGULAR,30147248,2,19,9,0,9,0,9,0,3,3,12,12,2,1,2,2,19,26,163,1,4,2,10/1/26,"",1
1,0,3.19,0,,16.0 MLOZ,STR CSK,REGULAR,30147825,2,15,2,3,9,3,9,4,3,1,5,12,1,1,2,1,32,36,29,1,1,1,10/1/78,10/1/74,1
1,0,3.19,0,,16.0 MLOZ,CHERRY GRCA,REGULAR,30147825,2,15,2,3,9,3,9,4,3,1,5,12,1,1,2,1,32,36,29,1,1,1,10/1/78,10/1/74,1
1,0,3.19,0,,16.0 MLOZ,DUBLIN MUDSLIDE,REGULAR,30147825,2,15,2,3,9,3,9,4,3,1,5,12,1,1,2,1,32,36,29,1,1,1,10/1/78,10/1/74,1
1,0,3.19,0,,16.0 MLOZ,CHUBBY HUBBY,REGULAR,30147825,2,15,2,3,9,3,9,4,3,1,5,12,1,1,2,1,32,36,29,1,1,1,10/1/78,10/1/74,1
1,2.89,0,1,3,16.0 MLOZ,ONE CSK BROWNIE,REGULAR,30147857,2,26,5,4,9,3,3,5,5,4,1,2,8,1,2,2,21,55,79,1,1,3,1/1/66,10/1/69,1
1,2.89,0,0,1,16.0 MLOZ,PISTACHIO PISTACHIO,REGULAR,30147857,2,26,5,4,9,3,3,5,5,4,1,2,8,1,2,2,21,55,79,1,1,3,1/1/66,10/1/69,1
1,2.15,0,0,1,16.0 MLOZ,PB CUP,REGULAR,30096632,3,19,3,5,2,3,3,4,4,1,3,1,1,1,2,3,11,12,117,5,4,2,10/1/73,10/1/68,1
1,2.14,0,0,1,16.0 MLOZ,CHC FUDGE BROWNIE,REGULAR,30096632,3,19,3,5,2,3,3,4,4,1,3,1,1,1,2,3,11,12,117,5,4,2,10/1/73,10/1/68,1
1,0,1.61,0,,16.0 MLOZ,CHUNKY MONKEY,REGULAR,30096632,3,19,3,5,2,3,3,4,4,1,3,1,1,1,2,3,11,12,117,5,4,2,10/1/73,10/1/68,1
1,1.9,0,0,1,16.0 MLOZ,CHC CHIP C-DH,REGULAR,30096632,3,19,3,5,2,3,3,4,4,1,3,1,1,1,2,3,11,12,117,5,4,2,10/1/73,10/1/68,1
1,3.79,0,1,3,16.0 MLOZ,PHISH FOOD,REGULAR,30096632,3,19,3,5,2,3,3,4,4,1,3,1,1,1,2,3,11,12,117,5,4,2,10/1/73,10/1/68,1
1,0,2.5,0,,16.0 MLOZ,CHERRY GRCA,REGULAR,30099395,2,30,9,9,9,1,9,4,4,1,4,12,1,1,2,2,16,39,153,2,4,2,10/1/41,1/1/39,1
1,0,4.19,0,,16.0 MLOZ,VERMONTY PYTHON,REGULAR,30100044,3,21,8,7,9,3,3,5,5,1,8,1,1,1,2,2,6,20,177,3,4,3,10/1/53,1/1/54,1
2,0,5.42,0,,16.0 MLOZ,AMERICONE DREAM,REGULAR,30162082,4,27,6,6,9,3,3,4,3,1,1,4,1,1,2,2,,20,173,1,4,3,1/1/60,1/1/62,1
1,0,1.99,0,,16.0 MLOZ,TURTLE SOUP,REGULAR,30162082,4,27,6,6,9,3,3,4,3,1,1,4,1,1,2,2,,20,173,1,4,3,1/1/60,1/1/62,1
2,0,5.66,0,,16.0 MLOZ,AMERICONE DREAM,REGULAR,30162082,4,27,6,6,9,3,3,4,3,1,1,4,1,1,2,2,,20,173,1,4,3,1/1/60,1/1/62,1
1,0,3.12,0,,16.0 MLOZ,AMERICONE DREAM,REGULAR,30162082,4,27,6,6,9,3,3,4,3,1,1,4,1,1,2,2,,20,173,1,4,3,1/1/60,1/1/62,1
1,0,3.12,0,,16.0 MLOZ,PHISH FOOD,REGULAR,30162082,4,27,6,6,9,3,3,4,3,1,1,4,1,1,2,2,,20,173,1,4,3,1/1/60,1/1/62,1
1,0,1.99,0,,16.0 MLOZ,CHC CHIP C-DH,REGULAR,30162082,4,27,6,6,9,3,3,4,3,1,1,4,1,1,2,2,,20,173,1,4,3,1/1/60,1/1/62,1
1,0,3.12,0,,16.0 MLOZ,PHISH FOOD,REGULAR,30162082,4,27,6,6,9,3,3,4,3,1,1,4,1,1,2,2,,20,173,1,4,3,1/1/60,1/1/62,1
1,0,3.99,0,,16.0 MLOZ,PISTACHIO PISTACHIO,REGULAR,30147857,2,26,5,4,9,3,3,5,5,4,1,2,8,1,2,2,21,55,79,1,1,3,1/1/66,10/1/69,1
1,0,2.99,0,,16.0 MLOZ,PB CUP,REGULAR,30148025,3,27,7,7,9,3,9,6,6,1,1,12,1,1,2,2,2,17,89,1,4,3,10/1/57,10/1/56,1
2,6,0,1,2,16.0 MLOZ,W-N-C-P-C,REGULAR,30148025,3,27,7,7,9,3,9,6,6,1,1,12,1,1,2,2,2,17,89,1,4,3,10/1/57,10/1/56,1
2,6,0,1,2,16.0 MLOZ,PB CUP,REGULAR,30148025,3,27,7,7,9,3,9,6,6,1,1,12,1,1,2,2,2,17,89,1,4,3,10/1/57,10/1/56,1
1,2.79,0,0,1,16.0 MLOZ,DUBLIN MUDSLIDE,REGULAR,30148025,3,27,7,7,9,3,9,6,6,1,1,12,1,1,2,2,2,17,89,1,4,3,10/1/57,10/1/56,1
1,2.79,0,0,1,16.0 MLOZ,W-N-C-P-C,REGULAR,30148025,3,27,7,7,9,3,9,6,6,1,1,12,1,1,2,2,2,17,89,1,4,3,10/1/57,10/1/56,1
1,2.79,0,0,1,16.0 MLOZ,PB CUP,REGULAR,30148025,3,27,7,7,9,3,9,6,6,1,1,12,1,1,2,2,2,17,89,1,4,3,10/1/57,10/1/56,1
1,0,3,0,,16.0 MLOZ,CHC FUDGE BROWNIE,REGULAR,30147877,3,23,8,7,9,3,9,3,3,3,4,12,3,1,2,3,29,12,115,1,4,2,10/1/47,10/1/56,1
1,0,3,0,,16.0 MLOZ,HEATH COFFEE CRUNCH,REGULAR,30147877,3,23,8,7,9,3,9,3,3,3,4,12,3,1,2,3,29,12,115,1,4,2,10/1/47,10/1/56,1
1,0,2.66,0,,16.0 MLOZ,CHERRY GRCA,REGULAR,30149591,2,10,8,0,9,0,9,0,3,3,12,12,6,1,2,1,10,34,29,4,4,2,1/1/48,"",1
1,0,3,0,,16.0 MLOZ,NEW YORK SUPER FUDGE CHUNK,REGULAR,30157414,1,17,0,7,9,9,0,5,0,3,12,,7,1,2,3,17,48,367,1,4,1,"",10/1/53,1
1,3.5,0,0,1,16.0 MLOZ,CHUBBY HUBBY,REGULAR,30158208,2,21,5,4,9,3,3,3,3,1,6,8,1,1,2,2,16,39,35,5,1,2,10/1/66,10/1/68,1
1,0,4.29,0,,16.0 MLOZ,NEW YORK SUPER FUDGE CHUNK,REGULAR,30158208,2,21,5,4,9,3,3,3,3,1,6,8,1,1,2,2,16,39,35,5,1,2,10/1/66,10/1/68,1
1,0,3.34,0,,16.0 MLOZ,CHC ALMOND NOUGAT,REGULAR,30158208,2,21,5,4,9,3,3,3,3,1,6,8,1,1,2,2,16,39,35,5,1,2,10/1/66,10/1/68,1
1,0,2.5,0,,16.0 MLOZ,HEATH COFFEE CRUNCH,REGULAR,30179560,3,27,7,8,9,3,3,5,4,1,1,2,1,1,2,2,,29,43,1,4,3,10/1/56,10/1/52,1
1,0,3.4,0,,16.0 MLOZ,HEATH CRUNCH,REGULAR,30181100,4,28,5,5,4,3,3,4,5,1,2,2,1,1,1,3,20,12,86,1,4,3,10/1/67,1/1/66,1
1,0,3.79,0,,16.0 MLOZ,CHERRY GRCA,REGULAR,30181100,4,28,5,5,4,3,3,4,5,1,2,2,1,1,1,3,20,12,86,1,4,3,10/1/67,1/1/66,1
4,13.6,0,0,1,16.0 MLOZ,DUBLIN MUDSLIDE,REGULAR,30181532,3,16,7,8,9,3,9,3,3,1,5,12,1,1,2,1,33,9,9,1,4,2,10/1/53,10/1/51,1
2,6.16,0,0,1,16.0 MLOZ,DUBLIN MUDSLIDE,REGULAR,30181532,3,16,7,8,9,3,9,3,3,1,5,12,1,1,2,1,33,9,9,1,4,2,10/1/53,10/1/51,1
1,3.5,0,0,1,16.0 MLOZ,DUBLIN MUDSLIDE,REGULAR,30181532,3,16,7,8,9,3,9,3,3,1,5,12,1,1,2,1,33,9,9,1,4,2,10/1/53,10/1/51,1
4,7.96,0,0,1,16.0 MLOZ,DUBLIN MUDSLIDE,REGULAR,30181532,3,16,7,8,9,3,9,3,3,1,5,12,1,1,2,1,33,9,9,1,4,2,10/1/53,10/1/51,1
1,0,4.19,0,,16.0 MLOZ,DUBLIN MUDSLIDE,REGULAR,30100044,3,21,8,7,9,3,3,5,5,1,8,1,1,1,2,2,6,20,177,3,4,3,10/1/53,1/1/54,1
1,0,3.5,0,,16.0 MLOZ,CHUBBY HUBBY,REGULAR,30103282,4,13,8,8,9,9,9,5,4,1,12,12,1,1,2,1,25,42,129,1,1,1,10/1/49,10/1/47,1
4,0,10.8,0,,16.0 MLOZ,BANANA SPLIT,REGULAR,30106715,3,21,6,5,2,3,1,5,4,1,6,1,1,4,1,4,27,6,73,1,4,3,10/1/59,10/1/64,1
1,0,3.49,0,,16.0 MLOZ,HEATH COFFEE CRUNCH,REGULAR,30107829,2,21,7,7,9,3,1,4,3,1,5,12,1,1,2,1,,23,5,1,4,1,10/1/53,10/1/53,1
1,0,3.49,0,,16.0 MLOZ,CREME BRULEE,REGULAR,30107829,2,21,7,7,9,3,1,4,3,1,5,12,1,1,2,1,,23,5,1,4,1,10/1/53,10/1/53,1
1,0,3.24,0,,16.0 MLOZ,IMAGINE WHIRLED PEACE,REGULAR,30107829,2,21,7,7,9,3,1,4,3,1,5,12,1,1,2,1,,23,5,1,4,1,10/1/53,10/1/53,1
2,0,5.98,0,,16.0 MLOZ,W-N-C-P-C,REGULAR,30108343,1,3,7,0,9,0,1,0,4,4,2,2,5,1,2,2,46,26,117,7,4,1,1/1/55,"",1
1,0,2.99,0,,16.0 MLOZ,W-N-C-P-C,REGULAR,30148025,3,27,7,7,9,3,9,6,6,1,1,12,1,1,2,2,2,17,89,1,4,3,10/1/57,10/1/56,1
1,2.79,0,0,1,16.0 MLOZ,OATMEAL COOKIE CHUNK,REGULAR,30148025,3,27,7,7,9,3,9,6,6,1,1,12,1,1,2,2,2,17,89,1,4,3,10/1/57,10/1/56,1
2,5,0,2,3,16.0 MLOZ,PB CUP,REGULAR,30149554,1,30,6,0,9,0,3,0,5,4,1,1,5,1,2,3,30,24,510,1,4,3,10/1/59,"",1
2,7.98,0,2,3,16.0 MLOZ,STR CSK,REGULAR,30149554,1,30,6,0,9,0,3,0,5,4,1,1,5,1,2,3,30,24,510,1,4,3,10/1/59,"",1
2,5.4,0,2,3,16.0 MLOZ,VAN,REGULAR,30149554,1,30,6,0,9,0,3,0,5,4,1,1,5,1,2,3,30,24,510,1,4,3,10/1/59,"",1
1,0,3.99,0,,16.0 MLOZ,ONE CSK BROWNIE,REGULAR,30150213,1,15,7,0,9,0,3,0,4,3,1,1,5,1,2,4,13,53,53,5,4,2,10/1/53,"",1
1,3.5,0,0,1,16.0 MLOZ,CREME BRULEE,REGULAR,30150213,1,15,7,0,9,0,3,0,4,3,1,1,5,1,2,4,13,53,53,5,4,2,10/1/53,"",1
2,6.6,0,0,1,16.0 MLOZ,DUBLIN MUDSLIDE,REGULAR,30181532,3,16,7,8,9,3,9,3,3,1,5,12,1,1,2,1,33,9,9,1,4,2,10/1/53,10/1/51,1
1,0,3.5,0,,16.0 MLOZ,DUBLIN MUDSLIDE,REGULAR,30181532,3,16,7,8,9,3,9,3,3,1,5,12,1,1,2,1,33,9,9,1,4,2,10/1/53,10/1/51,1
2,7,0,0,1,16.0 MLOZ,DUBLIN MUDSLIDE,REGULAR,30181532,3,16,7,8,9,3,9,3,3,1,5,12,1,1,2,1,33,9,9,1,4,2,10/1/53,10/1/51,1
1,3.4,0,0,1,16.0 MLOZ,DUBLIN MUDSLIDE,REGULAR,30181532,3,16,7,8,9,3,9,3,3,1,5,12,1,1,2,1,33,9,9,1,4,2,10/1/53,10/1/51,1
1,0,3.5,0,,16.0 MLOZ,DUBLIN MUDSLIDE,REGULAR,30181532,3,16,7,8,9,3,9,3,3,1,5,12,1,1,2,1,33,9,9,1,4,2,10/1/53,10/1/51,1
2,6.94,0,0,1,16.0 MLOZ,DUBLIN MUDSLIDE,REGULAR,30181532,3,16,7,8,9,3,9,3,3,1,5,12,1,1,2,1,33,9,9,1,4,2,10/1/53,10/1/51,1
1,3.5,0,0,1,16.0 MLOZ,DUBLIN MUDSLIDE,REGULAR,30181532,3,16,7,8,9,3,9,3,3,1,5,12,1,1,2,1,33,9,9,1,4,2,10/1/53,10/1/51,1
2,0,6,0,,16.0 MLOZ,AMERICONE DREAM,REGULAR,30162082,4,27,6,6,9,3,3,4,3,1,1,4,1,1,2,2,,20,173,1,4,3,1/1/60,1/1/62,1
1,0,2.83,0,,16.0 MLOZ,BANANA SPLIT,REGULAR,30162082,4,27,6,6,9,3,3,4,3,1,1,4,1,1,2,2,,20,173,1,4,3,1/1/60,1/1/62,1
1,0,3.79,0,,16.0 MLOZ,CHERRY GRCA,REGULAR,30164867,2,19,5,0,3,0,3,0,5,3,1,1,2,1,2,3,29,12,57,1,4,3,1/1/63,"",1
